"ID","Event","Type","Year","Date","Speaker","Affiliation","Title","Slides","Video","Abstract"
"rinpharma_1","2018 Conference","Workshop","2018","2018-08-15","Marianna Foos","Biogen","Keeping things Peachy when Shiny gets Hairy","","",""
"rinpharma_2","2018 Conference","Workshop","2018","2018-08-15","Adrian Waddell","Roche / Genentech","Analyzing Clinical Trials Data with R","","",""
"rinpharma_3","2018 Conference","Workshop","2018","2018-08-15","Daniel Lee","Generable","Stan for Pharma","","",""
"rinpharma_4","2018 Conference","Workshop","2018","2018-08-15","Devin Pastoor","Metrum Research Group","Moving Fast Without Breaking Things: Navigating the R Ecosystem in an Enterprise Environment","","",""
"rinpharma_6","2018 Conference","Keynote","2018","2018-08-15","Lilliam Rosario","FDA","Modernizing the new drug regulatory program in FDA/CDER: Can Collaborations and Sharing Help?","","","Lilliam will be presenting a perspective on what the office of computational science is doing to support regulatory review for safety assessments. She will explore the concept of collaborations and sharing to support process and transparency, along with a perspective with the use of R."
"rinpharma_7","2018 Conference","Talk","2018","2018-08-15","Paul Schuette","FDA","Using R in a regulatory environment: some FDA perspectives","","","The United States Food and Drug Administration (FDA) uses a variety of statistical software packages for review and research. This presentation will focus on the uses of R in the Center for Drug Evaluation and Research (CDER), including graphics for labels, Bayesian designs and analyses, simulations, machine learning, data quality and data integrity efforts, as well as interactive visualizations using R Shiny. Some of the challenges with using R will be discussed, as well as advantages of using R to collaborate with colleagues in industry and academe through Cooperative Research and Development Agreements (CRADAs), Broad Agency Agreements (BAAs), and working groups associated with professional societies (ASA, DIA, PhUSE)."
"rinpharma_8","2018 Conference","Talk","2018","2018-08-15","Boyd Gonnerman, John Sims, Frank DePierro  and Peter Giardina","Pfizer","Using R in a GxP Environment","","","The Data Science team in Pfizer’s Vaccine Research and Development division (VRD) creates and maintains validated applications used during high-throughput clinical testing that enable advanced analytic and reporting requirements. SAS has long been the de-facto standard for analyzing data in a regulated GxP environment. Web deployment of these applications has been the best approach, and Pfizer VRD has developed several mid-tier applications in Java that submit batch SAS processes on a High Performance Computing grid. Pfizer VRD’s high level approach is the same across different assay platforms data are pulled from a combination of electronic files and Oracle databases and analyzed, results are written back to an Oracle database, and electronic output files are made in various formats (e.g. PDF). The regulated nature of Pfizer VRD’s work and the difficulty in deploying R-based applications over the web have previously been an impediment to the use of R, but new tools such as RStudio’s Shiny Server Pro have helped us overcome those challenges. This presentation focuses on a comparison of the architecture used to deploy our SAS applications and the infrastructure required to deploy R-based applications to meet GxP requirements. Real life examples will be provided to illustrate the usefulness of this platform in a regulated laboratory environment."
"rinpharma_9","2018 Conference","Talk","2018","2018-08-15","Chase Clark","University of Illinois","IDBac: A New Paradigm in Developing Microbial Libraries for Drug Discovery","https://github.com/rinpharma/2018_presentations/blob/master/talks_folder/2018-Clark-IDBac.pdf","","The success of a bacterial drug discovery program can be no greater than the phylogenetic diversity and capacity of those bacteria in the library to produce specialized metabolites (SM). However, the methods used to create bacterial strain libraries have seen little innovation in nearly 80 years. Current practice relies entirely on colony morphology and/or 16S rRNA gene sequencing analysis to decide which isolated strains to retain for addition to a drug discovery library. However, these practices create inefficient libraries plagued with a high degree of taxonomic and chemical redundancy by relying on physical characteristics that have limited correlation with strains’ SM, the foundation of drug discovery. Therefore, the development of a platform to rapidly prioritize unknown bacterial strains based on phylogeny and SM would greatly increase the efficiency of the front-end of microbial drug discovery. Our lab has recently developed such a platform, called IDBac, which uses in situ matrix-assisted laser desorption/ionization time-of-flight mass spectrometry (MALDI-TOF MS) to analyze protein and specialized metabolite spectra of single bacterial colonies. Utilizing R and Shiny, alongside state-of-the-art packages and techniques in MALDI processing and data visualization, we created a stand-alone executable program for MALDI-TOF MS bacterial analysis. Using unsupervised learning methods and visualizations we have demonstrated IDBac’s capabilities by creating protein and specialized metabolite MS profiles, generating protein MS hierarchical groupings that accurately mirrored phylogenetic groupings and further distinguishing isolates based on inter- and intra-species differences in specialized metabolite production. With the ease of use of modern MALDI instrumentation and interactive, intuitive data exploration, IDBac can rapidly profile up to 384 bacteria in 4 hours. To our knowledge, IDBac is the first attempt to couple in situ MS analyses of protein content and specialized metabolite production and will enable laboratories with access to a MALDI-TOF MS the ability to rapidly create more efficient libraries for their drug discovery programs."
"rinpharma_11","2018 Conference","Talk","2018","2018-08-15","Sebastian Wolf","Roche / Genentech","The largest Shiny application in the world. Roche.Diagnostics.bioWARP","","","bioWARP (biostatistical Web-Applications and R Procedures) is a Shiny application enabling employees at Roche Diagnostics to create validated reports for regulatory authorities submissions. bioWARP enables people using advanced statistical methods, who cannot program R. It builds a connection to the validated R-packages developed at Roche with an easy to use and elegant user interface. Its modular environment can host an unlimited number of such interfaces. bioWARP now consists of tools for reporting reference ranges, equality by linear regression, precision by variance component analysis and homogeneity by inhouse developed equivalence tests . bioWARP's most important feature is the ability to move all statistical evaluations right into PDF reports. These are validated and can directly be used for submission to regulatory authorities. bioWARP is called the “largest shiny application in the world” by us as it already consists of 16 tools, has over 100.000 lines of code, >500 buttons and interaction items and is growing and growing and growing."
"rinpharma_12","2018 Conference","Talk","2018","2018-08-15","Reinhold Koch","Roche / Genentech","R reproducibility by containers and cloud","https://github.com/rinpharma/2018_presentations/blob/master/talks_folder/2018-Koch_Reproducibility_by_Containers_and_Cloud.pdf","","R is pretty good in backwards compatibility but still reproducing analysis even given script and data can be a challenge as packages, R, and math libraries keep evolving. www.rocker-project.org offers among other things version-stable R in docker (Rocker) images. A small example will be presented how this allows on any docker runtime environment to execute analysis with highest reproducibility. Such environments are part of all major commercial cloud providers but also allow on-premises installations."
